cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
41,20.5,23.2,32.5,28.8,20.7,0.441,17.7,0.2,10.5,18.1,2.1,48.263657,56.975586,0.46000001,0.49520001,0,0,1,0,2497
34.1,10.6,18.5,30.8,20.2,9.1,0.503,15.5,4.1,22.7,11.6,3.6,49.303143,46.051498,0.31999999,0.6602,0,0,1,0,3337
38.4,11.2,20.2,32.6,25.3,15.3,0.445,12,1.4,13.5,15.1,6,49.923466,53.118568,0.37,0.52960002,0,0,1,0,3110
41.2,14.2,25,43.4,31.4,21.7,0.506,26.6,0,74.3,18.4,0.4,47.832127,40.104546,0.55000001,0.9188,0,0,1,0,2552
37.4,14.5,20.1,51,31.6,18.2,0.51,29.3,0.1,82.5,19.3,0.8,45.93222,35.028038,0.55000001,0.89709997,0,0,0,1,3413
34.3,11.9,16.7,33.5,23.7,8.3,0.462,11.5,2.7,24,14.7,4.9,48.839836,52.377357,0.34999999,0.30759999,0,0,1,0,2813
40.1,15.5,21.7,45.2,31.8,16.2,0.55,24.8,0,53.5,19.3,1,48.128979,41.645966,0.55000001,0.76209998,0,0,0,1,2892
42.2,16.8,22.6,38.7,31.9,20.4,0.459,16.9,0.1,3.4,21.1,2.6,49.491058,55.06398,0.46000001,0.671,0,0,0,1,3692
40.2,10,22.2,36.8,36.1,18.4,0.471,15.7,0.6,2.6,16.8,13.9,49.381554,54.804825,0.44,0.72610003,0,0,0,1,3665
36.8,13.3,20.2,38,27.6,13.5,0.476,17.7,1.9,35.5,15.8,2.9,47.660065,46.207409,0.46000001,0.75319999,0,0,1,0,2335
41.8,19.9,23.8,43,34.7,14.4,0.55,23.3,0.3,42.3,19.3,0.3,47.766808,45.389866,0.51999998,0.74809998,0,0,0,1,3383
36,15.2,19.4,37.1,28.8,13.3,0.493,15.8,2.8,57.7,14.6,3.5,47.17041,41.926208,0.41,0.8427,0,0,1,0,3789
39.6,10.4,20.1,35.2,26.2,15.9,0.453,13.7,0.6,12.6,17.1,8.3,49.24966,53.786064,0.44,0.68949997,0,0,1,0,2266
41.7,18,24.6,47,34.9,17.2,0.494,33.9,0,69.3,19.1,1.1,45.873238,22.653301,0.55000001,0.99489999,0,0,0,1,3381
39.9,16.8,22.6,38.8,25.2,18.5,0.491,24.3,0.1,39.8,18.5,4.8,47.606579,48.903561,0.56,0.92070001,0,0,1,0,3019
34.3,14.2,19.4,38.6,28,15,0.537,21.8,2.2,36.5,14.8,2.2,47.940479,36.569359,0.40000001,0.9016,0,0,0,1,3127
41.4,15,21.6,33.5,32.2,20.4,0.482,17.5,0.2,19.6,20.4,2.9,48.823242,51.702103,0.51999998,0.7191,0,0,0,1,3330
37.6,15.5,22.2,38.6,31.6,16.2,0.466,18.9,0.9,43.4,13.9,5.4,48.075993,49.243084,0.37,0.91149998,0,0,1,0,3151
39,12.8,21.1,36.6,28.5,15.4,0.407,11.2,0.8,9.5,16.3,2.4,50.021027,57.737736,0.37,0.36559999,0,1,0,0,2544
36.8,9.4,14.7,37.5,22.9,7.3,0.439,6.2,2,12,14.9,5.7,48.421043,58.99139,0.28999999,0.1169,0,1,0,0,2745
38.4,16.2,20.5,43,32.2,13.3,0.529,36.4,2.1,71.9,17.5,0.5,46.315544,32.286537,0.46000001,0.95569998,0,0,0,1,3687
39.9,14.6,23.1,38.8,35.3,19.7,0.467,17.4,0.6,32.3,17.5,2.2,48.298855,47.801777,0.47,0.87360001,0,0,0,1,3845
41.2,11.3,22.3,34.2,25.3,19.3,0.469,16,0.3,26.9,21,2.4,48.279518,53.430496,0.5,0.88630003,0,0,0,1,4532
34.9,12.1,19.1,36.1,27.4,11.7,0.468,16.2,1.6,31.8,12.9,3.7,48.240997,43.056889,0.44,0.62550002,0,0,1,0,3396
41.8,13,23.5,39.8,29.9,18.2,0.452,17.3,0.4,6.1,19,2.4,49.060989,54.399326,0.47999999,0.74519998,0,1,0,0,2704
41,9.9,22.9,31.7,32.1,17.4,0.499,18.6,0.2,23.5,18.4,1.4,49.325916,51.026348,0.62,0.73030001,0,0,0,1,2709
40.3,15.9,24.1,50.3,33.8,23.5,0.489,32.5,0,69.3,19,0.5,46.943169,37.038326,0.56999999,0.92799997,0,0,0,1,3953
44,20,23.3,35.7,34.7,21.2,0.475,16.7,0.2,0.7,21.3,3.1,49.533298,54.952175,0.41999999,0.70249999,0,0,0,1,2244
33.2,14.9,21.8,50.9,26.7,14.5,0.407,14.8,20.6,3.2,9.4,9,60.059086,46.007351,0.19,0.58029997,0,0,0,1,6015
32.8,8.2,20.4,41.5,27.2,10.5,0.351,7.6,42.2,3.3,6.1,14,59.319057,48.758278,0.25,0.49270001,0,0,0,1,4169
32.1,8.6,17.3,30.1,17,6.1,0.43,9.5,11.8,5.2,10.5,9.1,50.989502,50.213001,0.16,0.46020001,0,0,1,0,2932
31.9,7.2,35.8,33.9,28.1,19.1,0.45,23.5,1.2,0.7,7.2,2.5,52.260948,41.340343,0.30000001,0.97479999,0,0,0,1,6246
34.7,16.1,21.9,41.8,26.8,6,0.392,9.8,0.4,0.5,9.9,3.6,59.885715,52.85326,0.23,0.35249999,0,0,0,1,4315
33.5,7.7,19.4,23,20.7,1.5,0.349,6.6,2.5,1.1,9.3,0.3,53.472839,48.946594,0.36000001,0.101,0,0,0,1,3249
31.7,8.4,30.7,30.5,25.6,13.7,0.427,18.1,1.4,1.5,10.1,3.7,51.23967,43.720928,0.23,0.8682,0,0,0,1,4601
