cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
39.3,9.1,15.3,27.3,20.3,4,0.437,7,0.8,0.4,25.5,2,49.740177,58.129578,0.41999999,0.091700003,0,0,0,1,4622
36.1,6.7,16,37.2,22.6,7.3,0.448,10.7,1.5,3.5,17.3,2.4,49.306057,52.841373,0.31999999,0.23469999,0,0,1,0,2768
38.1,7.2,17.8,36.2,27.6,9.3,0.433,11.4,0.2,1.9,20.5,9.7,50.09536,52.398525,0.41999999,0.3946,0,0,0,1,6512
37.8,10.6,18.2,38.4,25.9,8.3,0.451,13.2,0.2,2.1,21,2.4,50.275211,54.382751,0.46000001,0.2252,0,0,0,1,7872
39.1,7,18.7,43.3,26.5,9.9,0.433,11.7,1.6,1.7,21.7,3.2,49.138477,56.8522,0.44999999,0.35960001,0,0,0,1,6447
38.6,13.8,18.3,48,27.1,8.9,0.429,11.2,0,0.2,20.8,12.7,49.744144,61.608017,0.49000001,0.1962,0,0,0,1,7458
38.5,7,18.9,35.6,21.7,7.9,0.407,11.6,0,0.7,22.3,2.7,49.740856,59.272919,0.56999999,0.055399999,0,0,0,1,7365
38.2,13.4,17.7,40.5,27.6,6.6,0.395,11.2,0.7,0.4,22.3,2.9,49.12849,57.926579,0.54000002,0.1978,0,0,0,1,6046
36.8,7.2,15.2,33.7,21.9,5.4,0.418,5.5,0.2,0.6,20.5,1.2,49.491829,63.775101,0.5,0.0038,0,0,1,0,6107
38.7,6.5,18.2,37.3,28,6.9,0.417,8.8,0.2,0.3,22.1,2.7,49.470428,62.0527,0.52999997,0.122,0,0,1,0,3412
37.3,6.7,16.1,35.8,24.1,6.7,0.412,9.1,3.2,1.3,20.2,6,49.18317,59.026402,0.47,0.1153,0,0,0,1,5110
38.7,4.1,16.6,34.1,18.2,6.7,0.401,9,0.3,1.5,21.8,4.4,50.157379,63.129375,0.49000001,0.0713,0,0,0,1,7272
37.8,7.4,16.9,41.5,21.5,7.6,0.416,10.6,0.1,1.2,21.3,4.3,49.95018,55.497345,0.47,0.1242,0,0,0,1,5692
38,12.6,18.5,36.7,24.2,8.5,0.422,8.7,0.5,0.1,19.4,1.7,49.897083,58.321667,0.46000001,0.064599998,0,0,1,0,7032
35.7,7.2,17.5,35.7,25.2,7.4,0.393,11.7,2.6,2.2,18.4,4.8,50.814903,54.332539,0.38999999,0.3134,0,0,0,1,5412
38.6,8.8,18.6,33.6,19.4,9.1,0.397,9.6,0.4,0.3,20.2,1.6,50,59.436699,0.55000001,0.1567,0,0,0,1,7409
38.9,6.5,17.9,32.3,22.1,7.2,0.426,10.8,0.3,0.3,20.8,4.3,49.016117,59.950413,0.50999999,0.1446,0,0,0,1,5425
38.6,6.4,17.8,32.4,27.9,6.8,0.457,10.5,0.2,0.6,21.9,2.4,49.876831,58.294266,0.56,0.086599998,0,0,0,1,5615
35.9,8.9,17.4,37,18.8,6.2,0.443,6.7,0.4,0.7,18.4,2.8,49.53981,59.900841,0.51999998,0.034699999,0,0,0,1,4880
39.2,8.8,18.7,34.7,26,7.4,0.419,12.3,1.3,0.4,20.4,1.4,50.06443,56.991619,0.44999999,0.1268,0,0,0,1,4381
37.3,12.3,18.7,38.3,23.9,6.1,0.396,8.4,0.4,1.9,18.9,2.3,51.064346,57.458893,0.38999999,0.25479999,0,0,0,1,3709
36.1,7.6,16.6,30.5,12.2,6.8,0.489,14.2,4.3,7.1,21.6,3,48.980602,43.954445,0.58999997,0.48949999,0,0,0,1,7672
27.9,7,13.6,27.4,16.8,5.1,0.492,16,6.2,7.2,11.3,5.6,49.544682,45.486866,0.23,0.26750001,0,0,1,0,3700
38.4,6.8,18.6,35.1,24.5,7.7,0.412,9.5,0.9,2.1,20.2,2,51.71944,56.194637,0.44999999,0.19239999,0,0,1,0,5759
38.7,6.5,19,38.6,23.2,7.1,0.451,11.4,0.3,0.4,21.5,1.7,50.844131,59.524673,0.55000001,0.039799999,0,0,0,1,6521
38.6,10.6,16.7,40.1,27.4,6.1,0.416,10.3,0.5,0.7,23.1,2.6,50.126854,58.259804,0.52999997,0.1048,0,0,0,1,6490
38.3,11.2,20,38.6,23.9,7,0.42,15,0.6,2.7,19.9,3.6,50.43679,54.837677,0.34999999,0.50410002,0,0,0,1,4746
34.6,8.6,17.8,33.3,20.8,5.5,0.428,11.1,2.3,5.3,15.5,3.2,49.306934,51.580463,0.25,0.1806,0,0,1,0,4063
36.8,11.4,19.7,37.4,31.3,15.9,0.437,9.2,3.3,1,18.3,15.7,51.243515,55.947571,0.54000002,0.45699999,0,0,0,1,4717
38.8,11.8,19.4,36.7,23.9,7.9,0.45,14.9,0,0,21.4,2,50.2971,60.083248,0.51999998,0.2755,0,0,0,1,6566
36,11.9,17.4,35.1,21.8,9.4,0.365,7.4,0.5,0,17.9,2.6,51.05299,67.475243,0.56999999,0.043900002,0,0,0,1,8082
36.4,7.8,17.2,37.8,24.6,5.8,0.441,6.9,1.2,0.2,17.1,2,50.593304,65.100983,0.54000002,0.020400001,0,0,1,0,4830
35.8,6.9,19.3,29.6,24.1,7.8,0.444,10.8,1.7,1.3,18.1,2.2,50.297779,56.106094,0.38999999,0.4637,0,0,0,1,6012
34.7,8.3,16.1,35.4,22.5,6.7,0.399,8.2,1.1,1,17.5,1.9,49.734715,57.43087,0.34999999,0.19490001,0,0,0,1,6326
36.5,10,17.8,36.2,26.9,16.2,0.405,13,3.7,1.1,17.7,21.9,50.815735,55.015556,0.33000001,0.68629998,0,0,0,1,3377
37,5,17.4,30.8,20.6,7.2,0.422,8.8,0.4,0.6,18,3.1,49.993347,55.97916,0.38,0.1076,0,0,1,0,3984
38,6.3,18.2,38.3,18,8.2,0.395,9.3,0.4,0.3,21.7,1.4,49.330692,57.887997,0.54000002,0.086000003,0,0,0,1,6261
39.8,6.9,18.8,34.2,25.1,7.7,0.451,12.3,0.4,0.3,24.3,2,47.892326,56.851673,0.47999999,0.1796,0,0,0,1,7080
37.9,10.7,20.6,32.2,18.4,12.3,0.409,10.7,0.1,0,19.6,0.9,49.775841,61.851086,0.52999997,0.25189999,0,0,0,1,7330
39.1,9,20.1,31.7,20,9.6,0.445,13.2,0.1,0.1,20.9,3.8,48.244305,56.565781,0.54000002,0.528,0,0,0,1,7520
35.6,7.4,18.4,40.2,26.5,11,0.418,10.1,0.8,2.4,16.1,17.8,49.716709,55.169781,0.31999999,0.39039999,0,0,0,1,3985
37.4,6.1,18.2,27.1,23.3,7.9,0.417,10.1,0.9,1.1,20.5,4.9,49.475967,58.801804,0.49000001,0.2322,0,0,0,1,7467
38.6,8,17.8,37.3,21.5,11.6,0.405,9.3,0.1,1.2,21,8,50.545273,59.31995,0.57999998,0.26339999,0,0,0,1,6118
37.8,11.6,18.3,42.8,22.1,8.5,0.418,14.9,0.9,1.9,21.6,3.4,52.370972,53.428394,0.44,0.33410001,0,0,0,1,9034
37.1,8.4,16.1,33.5,27.3,7.3,0.411,11.1,0.3,2.3,21.5,2.8,49.627903,56.475819,0.56,0.17290001,0,0,0,1,6961
35.8,8.6,16.9,32.8,29.2,6.9,0.406,7.2,0.6,0.9,18.1,5.2,49.050583,61.550396,0.43000001,0.12710001,0,0,1,0,5073
39.9,5.8,18.9,37.3,25.7,7.8,0.408,10.1,2,0.5,22.7,3.8,48.815655,60.121387,0.60000002,0.1462,0,0,0,1,5499
33.3,8.6,17.3,33.4,18,8.5,0.44,10.1,4.6,6.5,12.8,8.3,49.277958,50.273003,0.28,0.3768,0,0,1,0,2400
36.4,9.6,19.8,42,25.7,10.5,0.424,11,0.7,1.6,17,7.7,49.292774,51.528866,0.27000001,0.45989999,0,0,1,0,3718
36.1,6.5,16.3,34.3,21.1,6.1,0.46,11.6,2.1,1.9,20.2,3.2,48.069393,50.10368,0.34999999,0.1548,0,0,0,1,3909
39.3,7,17.6,32.8,21.2,7.3,0.424,15.1,0.9,0,24,2.5,48.710716,59.588867,0.66000003,0.12989999,0,0,0,1,8309
39.1,7.3,17.2,37.2,27.4,7.2,0.425,9.5,0.4,0.7,23.2,3.1,49.377678,60.942001,0.57999998,0.0748,0,0,0,1,5568
36,10.4,16.8,33.7,21.2,7.2,0.461,11.8,2.7,7.4,15.8,6.7,49.061737,51.0392,0.28999999,0.26589999,0,0,1,0,3543
38.4,7.3,16.6,33.6,22.7,7.6,0.427,8.7,0.1,0.7,22.7,2.9,48.957436,57.874306,0.50999999,0.1303,0,0,0,1,6735
33.1,7.9,15.8,28.4,19.7,9.8,0.386,7,0.7,0.3,15.2,10.7,50.205299,63.851978,0.43000001,0.2207,0,0,0,1,7962
29.4,8.7,13.8,29.3,17.2,2.8,0.466,15.8,8,2.2,11.8,3.4,52.219391,41.240799,0.23999999,0.2124,0,0,1,0,2993
38.1,7.6,18.8,33.3,25.9,8.7,0.417,13.1,0.4,0.9,19.5,9.7,49.577267,55.559612,0.57999998,0.3274,0,0,0,1,4154
39,9.1,19.6,34.5,19.3,9.8,0.45,12.5,1,0,22,7.7,50.802658,60.13718,0.55000001,0.2771,0,0,0,1,7533
37.1,17.7,20,37.3,27.3,9.7,0.433,12.1,1.5,0.5,20,2.9,48.559639,53.111378,0.5,0.44549999,0,0,0,1,6799
39.2,6.8,19.7,32.9,16.4,10.8,0.459,12.8,0.5,0.4,22.1,1.5,51.258739,60.589859,0.56999999,0.2465,0,0,0,1,7492
37.8,13.1,20.9,31.5,20.7,11.9,0.445,14.2,1.8,3.3,17.4,10.7,49.517658,53.452389,0.38999999,0.7439,0,0,0,1,4748
32.9,8.7,15.7,36.8,15.1,4.6,0.418,7.3,1,0.4,15.5,2.8,48.919643,59.721142,0.28,0.071999997,0,0,1,0,2361
37.3,9,18.5,32.3,21.3,8.6,0.395,9.1,0.6,0.7,18.7,6.1,49.610859,59.433853,0.43000001,0.22390001,0,0,1,0,5470
39.6,18.5,20.9,49,25.6,12.1,0.442,19.1,0,0.2,21.7,1.5,49.276714,57.911331,0.69,0.45829999,0,0,0,1,6059
36.1,9,19.6,37.8,24.6,9.5,0.446,12.1,1.3,4.6,18,5,51.645916,46.330139,0.34,0.458,0,0,0,1,3556
37.9,8.6,16.7,40.6,21.4,7.6,0.404,10.2,1.2,1.6,20.9,4.6,49.250046,51.640285,0.38999999,0.2061,0,0,0,1,5407
36.4,4.7,14.9,31.5,23.5,4.8,0.405,8.6,0.6,1.5,20,2.2,49.639721,54.245449,0.40000001,0.0115,0,0,0,1,5943
34.5,9,19.9,34.7,26.2,12.9,0.429,12.8,3,3.2,14.7,16.6,49.482384,50.232716,0.37,0.69679999,0,0,1,0,3097
37.6,13.2,18,31.9,23.6,6.7,0.411,9.8,0.3,1.5,20.2,2.9,50.436535,54.377731,0.56,0.069700003,0,0,0,1,5799
39.1,7.2,18.5,39.2,27.8,7.6,0.416,11,0.5,0.3,22,12,50.506321,57.657215,0.43000001,0.48030001,0,0,0,1,6490
38.2,14.9,19.8,39.2,31.7,8.1,0.421,17.3,0.9,0.9,20.2,3.5,49.514175,52.240704,0.44999999,0.3978,0,0,0,1,6739
38.7,8.8,20.1,34.5,21.6,9,0.438,12.7,0,0.4,21.1,1.8,49.661774,59.873848,0.58999997,0.2274,0,0,0,1,7234
34.4,10.4,20.8,37.6,28.6,7.3,0.421,13.8,0.4,2.8,16.9,3,48.217358,47.358017,0.34999999,0.49110001,0,0,0,1,6063
38.3,7.6,20.5,30.5,26.3,8.9,0.471,13.6,1.6,0.8,21.6,5.4,50.865051,55.995628,0.57999998,0.28029999,0,0,0,1,5678
38.3,11.5,19.9,37.5,26.9,10.5,0.437,13.4,0.4,1,18.8,14.8,49.294975,53.794014,0.43000001,0.54390001,0,0,0,1,5086
38.3,11.8,21.2,37.2,25.8,8.7,0.44,15.6,0.7,2.8,19.4,2.6,49.274372,55.266365,0.44999999,0.58279997,0,0,0,1,4574
38.1,10.9,19.7,40,32,6.8,0.42,15.4,0.6,0.6,19.5,4.6,49.210472,59.39394,0.50999999,0.27169999,0,0,0,1,7870
34.7,9,18.1,36.6,25.6,7.5,0.416,8.5,1.2,2.3,14.8,4.8,50.632702,59.038998,0.33000001,0.2624,0,0,1,0,2759
38.2,8.7,18,42.4,19.4,8.2,0.406,11.4,0,1.6,24.2,4.7,51.346226,54.77198,0.55000001,0.40669999,0,0,0,1,6184
40.1,6.7,20.9,35.3,27.9,13.4,0.437,16.4,0.3,0.5,26.1,3.8,52.572975,55.10733,0.47999999,0.71880001,0,0,0,1,4959
38.6,12.3,21.5,40.3,30.5,10.1,0.41,15.4,0.8,0.5,19,2.5,49.625847,54.869053,0.36000001,0.38280001,0,0,0,1,5130
39.8,9.5,16.9,34.9,22.1,6.4,0.435,11.6,0,0,26.5,6.7,49.756096,53.490479,0.66000003,0.1003,0,0,0,1,8206
37.2,8.9,16.7,36.3,23.8,5.2,0.388,12.4,1.1,0.3,23.6,5.5,51.82626,62.88401,0.57999998,0.31240001,0,0,0,1,8551
37.4,10.1,17.2,31.6,26.2,7.1,0.445,10,0.5,0.8,23.1,2.5,49.938133,59.959759,0.47999999,0.049400002,0,0,0,1,6180
37.4,7.9,19,38.5,24.7,7,0.444,13.5,0,1.8,21,3.1,49.809799,54.582172,0.43000001,0.2739,0,0,0,1,5046
37.6,10.7,17.9,41.5,25.1,7.3,0.423,11.2,0,0.7,20.8,2.6,50.93288,60.11713,0.54000002,0.2035,0,0,0,1,6771
38.9,7.1,16.2,28.3,21.1,6.1,0.427,11.6,0,0,26.1,3.7,53.218391,56.706043,0.62,0.079300001,0,0,0,1,6338
37.6,11.2,20.4,39.5,28.7,9.3,0.418,13.5,1.6,2.8,18.1,10.8,50.487965,53.33968,0.34,0.73180002,0,0,0,1,3721
34.5,10.3,19.7,31.4,25.9,7.9,0.463,18.5,1.8,2.1,15.2,5.7,50.028229,46.07914,0.38,0.69870001,0,0,0,1,5103
40.9,7.9,18,35.8,32.1,6,0.423,13.2,0.3,0.5,27.4,2.9,49.790211,56.816292,0.60000002,0.1573,0,0,0,1,7720
36.1,8.8,20.2,40,28.2,8.5,0.44,9.8,0.5,1.3,19.5,4.6,50.393032,58.345974,0.44999999,0.33219999,0,0,0,1,5633
36.6,8.6,20.1,35.7,26.2,9.7,0.432,11.4,0,5.8,18.9,2.7,51.028111,51.945644,0.46000001,0.2306,0,0,1,0,5615
28.7,7.6,14.8,28.3,16.7,4.6,0.474,15.1,5.2,4.1,11.8,6.2,49.60429,42.003441,0.19,0.22319999,0,0,1,0,4044
39.1,9.3,19.2,35.3,21.4,14.6,0.388,11.7,0.7,0.3,21.1,20.7,49.843151,61.654461,0.56999999,0.37200001,0,0,0,1,7588
42.2,18.2,19.6,32.6,26.4,11.5,0.458,19.4,0.4,0.3,28.9,4.5,48.870392,59.095284,0.63,0.38949999,0,0,0,1,4545
31.4,6.8,17.4,30.7,25.4,6.7,0.484,13.1,1.4,1,15,5.7,49.7967,46.513817,0.41,0.1564,0,0,0,1,5719
36.3,10.5,19,40.3,29.9,8.4,0.394,9.6,1.2,3.1,20.6,6.1,56.748516,54.713772,0.5,0.39520001,0,0,0,1,6127
32.7,8.4,19.4,38,27.8,29,0.388,13,3.9,2.7,10.6,49.9,51.420406,53.620159,0.31999999,0.82359999,0,0,0,1,3308
32.6,10.8,19.6,31.6,27.8,26.4,0.413,13.8,1.4,1.9,10.6,55,51.950027,55.96965,0.41,0.85699999,0,0,0,1,3056
36.6,7.3,19.6,33.3,23.3,7.8,0.403,10.4,0.3,0.7,16.5,4.1,49.088348,56.792656,0.34,0.2137,0,0,0,1,4783
25.9,13.5,19.9,39,23.7,6.2,0.37,11.7,3.9,17.6,8.1,16.1,53.407787,65.378525,0.18000001,0.65759999,0,0,0,1,4419
38.4,10.3,17.6,32.4,24.3,7.9,0.414,9.6,0.5,0.1,26.6,3.4,50.30257,68.499535,0.58999997,0.097499996,0,0,0,1,6908
39.7,11.9,17.4,32.2,28,7.4,0.404,11.8,1.7,4.1,26.5,1.9,50.059547,61.015324,0.5,0.12549999,0,0,0,1,6980
34.2,8.8,18.1,35.9,25.1,23,0.413,10.5,0.4,0,12.9,47.5,52.069103,60.036564,0.41999999,0.38150001,0,0,0,1,3997
35.5,9.3,18.8,31.8,29,22.6,0.389,7.6,0.4,0,14.8,15.9,50.19043,64.040268,0.52999997,0.27360001,0,0,0,1,2710
37.3,12.3,16.9,34.1,25.9,13,0.398,10.9,0,0,20.5,24.7,50.295357,65.554359,0.68000001,0.57520002,0,0,0,1,8331
39.3,8,19.2,34.7,28.2,7.6,0.459,14.9,0.1,0.2,24.7,3.8,50.402893,56.23877,0.51999998,0.21269999,0,0,0,1,5002
35.3,20.1,20.9,39.2,24.4,19.2,0.344,13.1,0,1.8,13.5,32.9,54.534927,56.773212,0.50999999,0.2586,0,0,0,1,6144
39.4,12.4,19.6,33.5,26.7,10.4,0.415,14.2,0.5,0.1,22.3,6.1,50.875938,60.058636,0.61000001,0.32229999,0,0,0,1,6179
35,8.3,16.7,30.2,22.6,9.5,0.398,9.3,0.8,1.5,19.2,11.8,49.731907,56.245712,0.28999999,0.33500001,0,0,1,0,3445
36.7,7.9,21.2,33.1,26.4,27.6,0.456,9.7,0.1,0,14.2,30.6,50.199104,60.961353,0.51999998,0.41150001,0,0,0,1,5513
38.1,13.2,16.3,38.5,24.3,8.9,0.385,10.4,1.9,0,22,7.9,50.959488,66.323906,0.64999998,0.1118,0,0,0,1,5669
37.5,12.1,19.6,37.8,23.7,5.4,0.396,10.9,0.6,0.2,18.8,4.6,49.954773,57.882263,0.47999999,0.2694,0,0,1,0,6650
37.2,8.5,18.4,34.7,18.2,6.5,0.366,7.8,0,0.7,18.5,2.7,50.608788,61.890839,0.40000001,0.0548,0,0,1,0,3495
42.6,7.8,19.9,31.6,21.8,6.9,0.494,13,0.3,0.3,29.6,2.3,51.057194,63.366337,0.67000002,0.0876,0,0,0,1,7766
33.7,7.2,12.5,26,16.4,4,0.447,5.3,5,4.5,14.1,7.6,49.043964,57.877388,0.20999999,0.061500002,0,1,0,0,3820
35.5,9.9,21.4,38.1,21.6,24.1,0.455,10.4,0.3,0.3,14.6,31.7,47.606861,57.527786,0.5,0.46560001,0,0,0,1,6379
37.5,11.7,16.9,30.8,30.4,6.4,0.442,11.3,0,0.4,21.8,3.5,50.013622,61.93869,0.56,0.0513,0,0,1,0,4699
37.5,9.1,17.1,35.2,24,11.8,0.396,12.1,0.7,0.6,21.3,6.3,48.542915,58.759842,0.56999999,0.25799999,0,0,0,1,5130
39.1,11,21.4,37.8,30.4,10.2,0.426,15.8,0.1,4.7,18.5,4.5,49.217159,54.321598,0.41999999,0.63919997,0,0,0,1,4835
39.2,10.2,17.8,34.5,25.7,5.7,0.427,10.3,1.4,0,18.4,6.7,51.023018,61.507935,0.56999999,0.030300001,0,0,0,1,5478
34.8,10.6,18.4,35.2,24.1,7.8,0.414,8.3,1.5,8.1,14.1,7,53.604557,54.034512,0.25,0.2404,0,1,0,0,3770
38.9,4.7,17.7,31.4,19.2,6.7,0.398,12.1,0,0.1,23.7,3.3,51.281208,54.853001,0.63999999,0.1322,0,0,0,1,5991
40.2,11.8,21.8,39.9,28.6,10.3,0.458,12,0.5,0.5,22.1,2.6,50.118912,60.410595,0.56,0.44780001,0,1,0,0,3768
36.9,13,17.8,32.6,27.9,9,0.441,10,0,0,20.2,6.1,50.196079,57.723213,0.56999999,0.1296,0,0,0,1,9497
32.4,7.5,17.7,38.6,22.1,11.7,0.469,15.1,2,2.2,14.8,21.2,48.440647,51.208588,0.34999999,0.73220003,0,0,0,1,7097
34.5,9.1,17.2,30.3,21.8,8.7,0.409,7.2,0.6,1,19.5,4.2,49.252636,59.868534,0.38999999,0.1067,0,0,0,1,3529
38.1,7.5,17.7,40.9,24.5,8.4,0.41,10.7,0.2,0.7,23.1,3.7,50.1003,57.112377,0.5,0.1771,0,0,0,1,5077
36.9,8.9,18.6,37.7,23.9,7.8,0.414,9.4,0.6,0.3,21.3,2.5,50.12822,59.779686,0.57999998,0.12639999,0,0,0,1,6259
37.6,13.4,18.6,36.9,30.9,19.3,0.4,9.7,0.7,0.6,17.3,20.4,50,61.580051,0.62,0.37169999,0,0,0,1,5789
35.5,8.7,16.9,31.8,26.7,4,0.425,6.8,0.5,1.4,17,3.2,49.848881,59.332207,0.36000001,0.025800001,0,1,0,0,4349
38.3,8.7,17.4,30,22.6,5.2,0.438,11.1,0.2,0.7,23.6,2.4,50.854355,51.386101,0.52999997,0.28439999,0,0,0,1,4611
38.4,10.6,22.1,39.2,29.8,11.2,0.443,15.7,1.1,4.9,19.2,6.7,49.829342,51.415619,0.38999999,0.80290002,0,0,0,1,4972
39.6,10.1,18.6,33.8,22.7,8.8,0.426,10.5,0.4,0.1,24.3,5,49.820339,62.291851,0.52999997,0.2436,0,0,0,1,5756
37.6,11,18.2,34.1,29.5,16,0.419,11.7,0.6,0.7,21,23.3,49.92738,55.474785,0.5,0.40799999,0,0,0,1,3917
37.2,6.4,17.6,33.8,27.4,5.8,0.407,8.8,0.1,0.7,19.7,2.1,50.657051,61.71154,0.56999999,0.096199997,0,0,0,1,7326
37.7,13.6,19.7,37.3,29.6,9.2,0.437,15.7,0,1.2,19.2,5.5,49.565434,54.199547,0.40000001,0.65799999,0,0,0,1,7370
39.8,7.4,17.9,33.7,20.9,9.1,0.47,10.6,0.3,0.5,25.3,10.2,51.182198,69.352089,0.62,0.15000001,0,0,0,1,6077
37.3,6.8,19.9,29.8,27.1,10.9,0.459,11.6,0.4,2.7,20.5,5.1,55.416821,44.697136,0.41,0.29750001,0,0,0,1,6330
37.9,11.5,20.1,42.3,28.4,9.2,0.425,14.2,0.1,0.5,19.6,3.2,50.078709,59.147053,0.43000001,0.2341,0,0,1,0,3985
39.8,9.3,17.6,33.9,27.7,6.1,0.478,13.5,0,0.4,24.4,2.1,50,58.041237,0.57999998,0.072300002,0,0,0,1,3676
38.1,9.9,18,34.2,30.8,5.1,0.41,9.9,0.6,0.9,19.9,2.7,51.477154,61.644695,0.50999999,0.027100001,0,0,0,1,3730
37.8,11.2,19.8,40.7,29,9.4,0.395,14,0,4.4,20.3,7.7,55.362801,46.22905,0.41,0.28659999,0,0,0,1,8603
38.9,8.6,18.5,36.7,30.3,7.6,0.414,11,0.6,0.6,22.8,3.3,49.269665,60.42289,0.55000001,0.242,0,0,0,1,6529
32.1,9.8,17.2,35.3,25.1,5.8,0.398,7.2,0.7,1.3,14.1,5.1,50.044029,63.190697,0.34999999,0.1487,0,0,1,0,5538
35.4,8.2,18,32,24.3,7.9,0.428,11.2,0.1,2.5,18.9,7.1,49.97884,56.004322,0.44,0.38730001,0,0,0,1,4606
39.4,5.8,16.4,21.7,19.3,4.2,0.419,14.2,0.1,0.6,26.9,7.1,51.039169,66.618362,0.64999998,0.13600001,0,0,0,1,8923
35.2,9.7,19.6,34.9,24.6,11.5,0.44,13.4,0.5,2.7,19.3,9.4,50.311478,52.447773,0.31,0.58660001,0,0,0,1,3816
40.2,4.4,16.4,35.4,27.7,4.1,0.412,12.2,0.2,1.1,27.4,2,48.175182,66.02697,0.62,0.0605,0,0,0,1,4779
36.4,10.4,18.3,38.6,25.4,8.4,0.424,11.8,0.9,1.6,18.6,11.3,50.248497,57.793121,0.44999999,0.42519999,0,0,0,1,4475
24.6,7.2,15.7,26.7,17.1,4.2,0.475,20.9,5,6,8.9,8.3,52.95779,37.432125,0.18000001,0.4373,0,0,1,0,3667
37.6,10.5,18.3,34.4,23.1,11.3,0.401,10.5,0.2,1.7,22.1,2.5,48.050663,57.726723,0.62,0.142,0,0,0,1,7208
39.7,5.1,18,34,32.3,7.9,0.401,12.2,0.5,0.1,24.9,3.2,49.735275,53.394936,0.61000001,0.078299999,0,0,0,1,6305
39.2,10.7,18.1,33.4,27.4,11.9,0.431,14.4,0.3,2.3,23.6,3.4,49.668968,58.113537,0.47999999,0.2392,0,0,0,1,7333
36,9,18.4,34.5,27.6,8.5,0.437,12.3,2.2,2.7,17.2,11.2,49.631634,53.099857,0.25999999,0.41620001,0,0,0,1,3616
36.1,8.8,17.4,36.8,26.9,15.6,0.359,7.9,1.3,0,18.1,15.5,51.962578,64.580597,0.51999998,0.30610001,0,0,0,1,7540
35.8,10.6,18.4,32.7,24.3,10.4,0.453,12.6,4.3,8.5,14,14.5,49.39138,50.438271,0.31,0.53570002,0,0,1,0,2086
33.4,6.9,20.1,36.8,21.6,33.7,0.405,14.2,2.6,4.5,9.4,61.2,51.053738,49.26178,0.38,0.91109997,0,0,0,1,3102
37.5,9.9,18.8,36.9,22.2,7.8,0.442,9.8,1.5,8.3,17.6,12.3,48.341881,51.637451,0.27000001,0.50989997,0,0,1,0,3921
38.8,5.1,17.8,24,23.6,3.9,0.44,11.8,0,0.9,23.5,5.1,51.316841,63.087582,0.67000002,0.068499997,0,0,0,1,8971
36.1,15,18.8,39.9,29.5,7.7,0.406,12.5,0.9,0.7,18.8,12.1,51.97036,54.556908,0.51999998,0.4984,0,0,0,1,8307
40.5,4.5,18.2,37.1,26,7,0.446,11.6,0.7,0.3,27.3,2.2,49.517509,65.888924,0.66000003,0.050299998,0,0,0,1,7438
38.3,7.9,18.6,33.2,20.2,9.3,0.446,13.7,0,0.2,21.1,13.3,50.849079,61.286514,0.61000001,0.27770001,0,0,0,1,4460
36,6,17.2,34.5,26.4,21.5,0.421,10.6,0,0,17.1,40.5,49.220272,58.393208,0.52999997,0.49649999,0,0,0,1,7260
36,12.7,20.1,39.2,26.1,21.8,0.462,9.7,0.3,0.7,14.6,36.4,50.633591,58.616592,0.49000001,0.67390001,0,0,0,1,4393
36.3,12.7,19.4,42.4,29.7,7.7,0.415,11.4,0.6,0.9,18.3,5.4,50,56.724445,0.46000001,0.22229999,0,0,1,0,3049
34.2,7.3,17.2,34.2,23.6,6.7,0.477,9.1,0.9,2.1,16.3,6.5,48.30986,57.911442,0.46000001,0.0704,0,0,0,1,7547
38.3,8.3,16.9,33.9,27.9,6.8,0.372,10.8,1.6,0.1,25.3,2.1,50.070423,60.105518,0.61000001,0.038899999,0,0,0,1,8187
37.3,7.9,16.9,33.8,22.5,4.6,0.368,6.9,1.3,0.5,19.5,3.8,50.660473,58.783176,0.50999999,0.053199999,0,0,1,0,4935
37.9,9.1,15.7,25.6,21.4,5.3,0.357,12.1,0.3,0.1,22.2,4.7,48.792885,63.954433,0.58999997,0.14300001,0,0,0,1,14464
38.1,7.2,17.7,32.6,24.9,8.4,0.418,9.5,0.1,0.1,23.8,3.5,51.101402,60.488571,0.63,0.1481,0,0,0,1,6443
35.6,7.1,16.3,35.6,24.4,13.4,0.362,11,0.6,0.9,18.8,35.2,46.901409,68.150688,0.56999999,0.46779999,0,0,0,1,6217
40,16.7,21.7,41.4,32.2,11.5,0.484,13.3,0,0.4,21,3.2,49.044659,56.048214,0.54000002,0.63660002,0,0,0,1,5709
40.4,12.2,22.8,35.5,20.6,9.3,0.439,14.3,0,0.4,24.4,0.3,50.871078,53.016243,0.57999998,0.43979999,0,0,0,1,6372
34.8,13.3,23.3,39.3,32.6,21.1,0.425,20.6,4.7,21.7,12,28.8,49.623016,45.491245,0.34,0.9242,0,1,0,0,3390
40.7,12,25.3,39.8,32.7,20.4,0.478,21.4,0.5,3,18.6,1.9,49.63063,52.350071,0.36000001,0.71210003,0,0,0,1,4708
40.6,11.3,26.8,36.5,38.3,17.9,0.447,16.8,0.6,0.9,17.3,2.1,49.923607,53.230038,0.31999999,0.6796,0,0,1,0,3335
37.9,13.9,21.8,41.1,29.5,10.1,0.408,10.2,0.3,2.7,15.4,1.7,48.98032,52.770844,0.33000001,0.26370001,0,0,0,1,2723
